wordid,lemma,N
17082,break,75
32708,cut,70
113507,run,57
101513,play,52
81008,make,51
77532,light,48
57931,give,45
64595,hold,45
118202,set,45
25832,clear,45
39038,draw,45
45663,fall,44
129923,take,44
97182,pass,42
62503,head,42
19521,call,41
21354,carry,41
23283,charge,40
102142,point,40
21858,catch,39
23538,check,38
136442,turn,38
111830,right,37
57483,get,37
26174,close,37
30925,cover,36
93393,open,36
77512,lift,36
77885,line,36
58457,go,35
39256,drive,34
12502,beat,34
145950,work,34
112599,roll,33
101105,place,32
39321,drop,32
25796,clean,31
76174,lead,31
108128,raise,31
15244,blow,30
11798,base,30
62816,heavy,30
82058,mark,30
111133,return,29
126818,strike,28
10602,back,28
15082,block,28
58883,good,27
126159,stock,27
112079,rise,27
134277,touch,27
121338,slip,26
121853,snap,26
38804,down,26
117058,see,25
122993,sound,25
113100,round,25
124688,square,25
125957,stick,25
144330,white,25
73482,keep,25
49283,flat,24
50050,follow,24
31093,crack,24
36932,direct,24
106334,pull,24
93853,order,24
125168,stand,24
124507,spread,23
100966,pitch,23
103179,post,23
104280,press,23
136713,twist,23
118264,settle,23
118944,shift,23
119273,short,23
50504,form,23
60287,ground,23
64391,hit,23
36838,dip,23
22448,center,23
21515,case,22
14481,black,22
34072,deal,22
27544,come,22
119200,shoot,22
103515,pound,22
143804,well,22
134022,top,22
125359,start,22
126359,stop,22
128459,support,22
129132,swing,22
110101,release,22
95732,pack,22
61960,hard,22
51182,free,22
45376,face,22
48152,field,21
48665,fire,21
65472,hot,21
72894,jump,21
73721,key,21
75707,last,21
38608,double,21
39134,dress,21
34001,dead,21
34498,deep,21
35937,develop,21
125782,step,21
126489,straight,21
100130,pick,21
87235,move,21
143045,wash,21
124426,spot,20
126538,strain,20
126766,stretch,20
119851,sign,20
122339,soft,20
130372,tap,20
132810,throw,20
109595,reduce,20
62363,have,20
65117,hook,20
49838,fly,20
29507,control,20
2184,advance,20
21646,cast,20
23125,change,20
37129,discharge,20
18520,burn,20
17105,"break up",19
39471,dry,19
39706,dull,19
11422,bar,19
117860,separate,19
96996,part,19
126868,strip,19
